Date,PRS_max,RAINF_max,RH_max,SR_max,TOUT_max,WSR_max,WDV_max,PM2.5_max,PRS_min,RAINF_min,RH_min,SR_min,TOUT_min,WSR_min,WDV_min,PRS_avg,RAINF_avg,RH_avg,SR_avg,TOUT_avg,WSR_avg,WDV_avg,CONT
13/07/2015,719.9,0,89,0.870999992,34.33,14,125,57,716,0,35,0,23.27,4.5,44,717.885,0,61.15,0.293300003,29.3605,9.075,95.1,1
13/03/2015,721.9,0.06,87,0.202,17.85,5.1,355,47,719.3,0,71,0,14.52,0.9,0,720.3857143,0.008571429,80,0.060619048,15.53666667,2.438095238,192.5238095,1
13/05/2015,720.7,0,94,0.794,27.78,14.2,113,48,717.8,0,66,0,22.21,3.4,65,719.1153846,0,78.38461538,0.249538462,24.94153846,10.82307692,101,1
13/10/2015,720.7,0,82,0.211,33.94,18.5,179,43,717.7,0,43,0,23.43,2.9,10,719.775,0,65.875,0.034125,27.595,8.6,94.375,1
13/08/2015,719.6,0,56,0,31.19,12,97,11,719.4,0,46,0,29.5,11.4,85,719.5,0,51,0,30.345,11.7,91,0
14/04/2015,722,0.11,92,0.339,22.25,12.4,355,47,718.5,0,66,0,18.29,2.5,1,719.9842105,0.005789474,84.15789474,0.063105263,20.36736842,6.494736842,97.05263158,1
14/01/2015,726.8,0.02,95,0.089,6.25,8,359,21,723.8,0,93,0,5.03,3.3,2,725.4214286,0.003571429,94.5,0.033142857,5.604285714,5.085714286,176.8571429,0
14/02/2015,724.4,0.01,92,0.032,15.28,4.4,330,71,723.9,0,88,0,14.42,1.8,5,724.1285714,0.001428571,90.28571429,0.004857143,14.91571429,3.314285714,116.2857143,1
14/07/2015,717.7,0.01,92,0.890999973,34,13.4,358,51,715,0,42,0,22.9,3.5,3,716.3826087,0.000434783,67,0.26608695,28.45347826,7.869565217,91.73913043,1
14/05/2015,720.4,0,94,0.699,28.98,13.2,120,47,717.1,0,60,0,21.51,3.4,65,718.73,0,80.05,0.15315,24.859,8.175,95.9,1
14/10/2015,722,0,84,0.764,32.81,12.2,320,39,719.3,0,36,0,23.09,0.9,29,720.6210526,0,58.15789474,0.269789474,28.48736842,7.873684211,112.0526316,0
14/08/2015,720.5,0,72,0.826,36.31,17.7,348,33,717.5,0,32,0,25.22,1.6,2,719.2315789,0,48.94736842,0.301894737,31.80052632,7.994736842,120.3684211,0
15/04/2015,720.2,0,94,0.479,22.57,11,354,66,717.1,0,75,0,17.71,2.7,19,718.9238095,0,86.0952381,0.129571429,19.91714286,6.623809524,92.95238095,1
15/01/2015,729.1,0.01,94,0.452,12.17,10,359,31,725.2,0,63,0,4.56,1.6,6,727.43125,0.00125,76.5,0.0903125,8.80625,5.76875,230.25,0
15/02/2015,723.7,0.02,96,0.307,19.09,8.2,355,74,718.1,0,81,0,14.02,1.1,4,720.7105263,0.002105263,91.36842105,0.066052632,15.80736842,3.189473684,172.1052632,1
15/07/2015,717.9,0,88,0.887000024,32.98,14.3,125,46,716,0,48,0,22.29,4.5,59,716.995,0,67,0.305550003,28.2255,9.545,95.45,1
15/05/2015,718.5,0.03,94,0.777,30.34,14.8,124,44,715.2,0,53,0.003,21.9,1.5,18,717.0142857,0.001904762,78.66666667,0.28347619,25.44095238,8.547619048,94.71428571,1
15/10/2015,720.8,0,89,0,22.33,4.4,55,45,720.5,0,82,0,21.29,3.5,22,720.625,0,86,0,21.735,4.075,45,1
15/08/2015,720.3,0.02,82,0.82,35.36,13.4,136,65,717.3,0,33,0,24.72,3.8,21,719.1272727,0.000909091,59.45454545,0.220090909,29.43409091,7.304545455,73.45454545,1
16/04/2015,717.6,0.11,94,0.719,27.75,11.4,354,81,714.8,0,63,0,18.96,1,7,716.3388889,0.006111111,76.61111111,0.254777778,23.98055556,5.555555556,142.7777778,1
16/01/2015,728.9,0,88,0.539,18.48,8.7,342,43,724.6,0,47,0,7.46,0.9,6,726.06,0,63.13333333,0.179733333,14.18133333,4.553333333,122.4666667,1
16/02/2015,719.8,0,94,0.895,28.44,15.6,360,66,714.6,0,42,0.072,15.13,0.9,0,716.7461538,0,72.46153846,0.279230769,19.43461538,7.853846154,270.0769231,1
16/07/2015,718.8,0,88,0.870999992,33.25,16.6,129,50,716.2,0,44,0,23.52,4.5,17,717.615,0,67.1,0.286600004,28.639,10.64,98.05,1
16/05/2015,716.3,0,93,0.791,32.28,17.2,331,51,713.3,0,57,0.011,20.23,2.5,7,714.7944444,0,74.77777778,0.337166667,26.52555556,8.8,145.0555556,1
16/10/2015,724.2,0.48,89,0.603,29.52,14.4,183,35,720.6,0,50,0,20.46,4.2,16,722.04,0.048,65,0.1761,25.742,9.38,91.3,0
16/08/2015,719.5,0,85,0.89,35.25,12.5,353,30,716.4,0,35,0,23.32,2.8,23,718.2095238,0,59.66666667,0.234714286,29.10857143,7.161904762,139.7142857,0
